passenger_id,pclass,name,sex,age,sibsp,parch,ticket
501,3.0,"Webber, Mr. James",male,,0.0,0.0,SOTON/OQ 3101316
588,2.0,"Phillips, Mr. Escott Robert",male,43.0,0.0,1.0,S.O./P.P. 2
402,3.0,"Van Impe, Miss. Catharina",female,10.0,0.0,2.0,345773
1193,3.0,"McEvoy, Mr. Michael",male,,0.0,0.0,36568
686,1.0,"Robert, Mrs. Edward Scott (Elisabeth Walton McMillan)",female,43.0,0.0,1.0,24160
971,3.0,"Barry, Miss. Julia",female,27.0,0.0,0.0,330844
117,3.0,"Karlsson, Mr. Julius Konrad Eugen",male,33.0,0.0,0.0,347465
540,1.0,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.0,1.0,0.0,PC 17572
294,3.0,"Van Impe, Mr. Jean Baptiste",male,36.0,1.0,1.0,345773
261,3.0,"Linehan, Mr. Michael",male,,0.0,0.0,330971
587,3.0,"Kink, Miss. Maria",female,22.0,2.0,0.0,315152
489,3.0,"Vander Planke, Mr. Julius",male,31.0,3.0,0.0,345763
2,3.0,"O'Sullivan, Miss. Bridget Mary",female,,0.0,0.0,330909
405,2.0,"Mellinger, Miss. Madeleine Violet",female,13.0,0.0,1.0,250644
1285,1.0,"Spencer, Mr. William Augustus",male,57.0,1.0,0.0,PC 17569
338,1.0,"Frolicher, Miss. Hedwig Margaritha",female,22.0,0.0,2.0,13568
356,2.0,"Mallet, Mrs. Albert (Antoinette Magnin)",female,24.0,1.0,1.0,S.C./PARIS 2079
985,3.0,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",male,40.0,1.0,5.0,347077
182,3.0,"Danbom, Master. Gilbert Sigvard Emanuel",male,0.3333,0.0,2.0,347080
1027,3.0,"Asplund, Master. Filip Oscar",male,13.0,4.0,2.0,347077
1023,3.0,"Wittevrongel, Mr. Camille",male,36.0,0.0,0.0,345771
657,3.0,"Gustafsson, Mr. Johan Birger",male,28.0,2.0,0.0,3101277
891,3.0,"Rice, Master. Arthur",male,4.0,4.0,1.0,382652
716,3.0,"Panula, Mr. Ernesti Arvid",male,16.0,4.0,1.0,3101295
1142,1.0,"Franklin, Mr. Thomas Parham",male,,0.0,0.0,113778
520,3.0,"Ware, Mr. Frederick",male,,0.0,0.0,359309
1268,3.0,"Murdlin, Mr. Joseph",male,,0.0,0.0,A./5. 3235
395,2.0,"Brown, Mr. Thomas William Solomon",male,60.0,1.0,1.0,29750
905,3.0,"Rogers, Mr. William John",male,,0.0,0.0,S.C./A.4. 23567
278,3.0,"Johansson Palmquist, Mr. Oskar Leander",male,26.0,0.0,0.0,347070
239,1.0,"Parr, Mr. William Henry Marsh",male,,0.0,0.0,112052
1255,1.0,"Calderhead, Mr. Edward Pennington",male,42.0,0.0,0.0,PC 17476
1084,1.0,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",female,48.0,0.0,0.0,17466
110,3.0,"Samaan, Mr. Youssef",male,,2.0,0.0,2662
1256,3.0,"O'Driscoll, Miss. Bridget",female,,0.0,0.0,14311
1307,3.0,"Baclini, Miss. Marie Catherine",female,5.0,2.0,1.0,2666
822,1.0,"Ryerson, Mr. Arthur Larned",male,61.0,1.0,3.0,PC 17608
1114,3.0,"Connaghton, Mr. Michael",male,31.0,0.0,0.0,335097
1110,1.0,"Seward, Mr. Frederic Kimber",male,34.0,0.0,0.0,113794
1048,3.0,"Goldsmith, Mr. Frank John",male,33.0,1.0,1.0,363291
1034,2.0,"Beesley, Mr. Lawrence",male,34.0,0.0,0.0,248698
568,3.0,"Heikkinen, Miss. Laina",female,26.0,0.0,0.0,STON/O2. 3101282
615,3.0,"Gallagher, Mr. Martin",male,25.0,0.0,0.0,36864
840,3.0,"Johnston, Master. William Arthur ""Willie""",male,,1.0,2.0,W./C. 6607
367,3.0,"Kink-Heilmann, Mr. Anton",male,29.0,3.0,1.0,315153
655,3.0,"Conlon, Mr. Thomas Henry",male,31.0,0.0,0.0,21332
1296,3.0,"Rice, Master. George Hugh",male,8.0,4.0,1.0,382652
384,3.0,"Hansen, Mr. Claus Peter",male,41.0,2.0,0.0,350026
200,1.0,"Chisholm, Mr. Roderick Robert Crispin",male,,0.0,0.0,112051
279,3.0,"Palsson, Mrs. Nils (Alma Cornelia Berglund)",female,29.0,0.0,4.0,349909
65,3.0,"Saad, Mr. Khalil",male,25.0,0.0,0.0,2672
481,3.0,"Olsen, Mr. Ole Martin",male,,0.0,0.0,Fa 265302
619,3.0,"Lindqvist, Mr. Eino William",male,20.0,1.0,0.0,STON/O 2. 3101285
892,3.0,"O'Brien, Mr. Timothy",male,,0.0,0.0,330979
272,3.0,"Colbert, Mr. Patrick",male,24.0,0.0,0.0,371109
1137,3.0,"Horgan, Mr. John",male,,0.0,0.0,370377
581,2.0,"Gillespie, Mr. William Henry",male,34.0,0.0,0.0,12233
165,3.0,"Yasbeck, Mr. Antoni",male,27.0,1.0,0.0,2659
761,1.0,"Bonnell, Miss. Caroline",female,30.0,0.0,0.0,36928
998,1.0,"Kimball, Mr. Edwin Nelson Jr",male,42.0,1.0,0.0,11753
592,1.0,"Uruchurtu, Don. Manuel E",male,40.0,0.0,0.0,PC 17601
947,3.0,"Yousseff, Mr. Gerious",male,,0.0,0.0,2627
997,3.0,"Youseff, Mr. Gerious",male,45.5,0.0,0.0,2628
1174,3.0,"Touma, Master. Georges Youssef",male,7.0,1.0,1.0,2650
921,3.0,"O'Brien, Mr. Thomas",male,,1.0,0.0,370365
