fare,cabin,embarked,home.dest,survived,pclass,name,sex,age,sibsp,parch,ticket
227.525,C45,C,"New York, NY",1,1.0,"Endres, Miss. Caroline Louise",female,38.0,0.0,0.0,PC 17757
52.0,A14,S,"Stoughton, MA",0,1.0,"Clifford, Mr. George Quincy",male,,0.0,0.0,110465
110.8833,,C,,1,1.0,"Fleming, Miss. Margaret",female,,0.0,0.0,17421
13.0,,S,"Worcester, MA",0,2.0,"Montvila, Rev. Juozas",male,27.0,0.0,0.0,211536
7.225,,C,,0,3.0,"Youseff, Mr. Gerious",male,45.5,0.0,0.0,2628
13.0,D,S,"Bristol, Avon / Jacksonville, FL",1,2.0,"Ball, Mrs. (Ada E Hall)",female,36.0,0.0,0.0,28551
8.6625,,S,,0,3.0,"Oreskovic, Miss. Marija",female,20.0,0.0,0.0,315096
7.0542,,S,,0,3.0,"Jensen, Mr. Svend Lauritz",male,17.0,1.0,0.0,350048
14.4583,,C,,0,3.0,"Yousseff, Mr. Gerious",male,,0.0,0.0,2627
7.925,,S,"Salo, Finland Astoria, OR",0,3.0,"Alhomaki, Mr. Ilmari Rudolf",male,20.0,0.0,0.0,SOTON/O2 3101287
26.0,,S,"Norwich / New York, NY",1,2.0,"Beane, Mrs. Edward (Ethel Clarke)",female,19.0,1.0,0.0,2908
23.45,,S,,0,3.0,"Johnston, Master. William Arthur ""Willie""",male,,1.0,2.0,W./C. 6607
26.55,,S,London,0,1.0,"Rowe, Mr. Alfred G",male,33.0,0.0,0.0,113790
7.225,,C,,0,3.0,"Lahoud, Mr. Sarkis",male,,0.0,0.0,2624
9.5,,S,,0,3.0,"Vande Walle, Mr. Nestor Cyriel",male,28.0,0.0,0.0,345770
39.0,,S,"Cape Town, South Africa / Seattle, WA",0,2.0,"Brown, Mr. Thomas William Solomon",male,60.0,1.0,1.0,29750
31.5,,S,"Guernsey / Elizabeth, NJ",0,2.0,"Jefferys, Mr. Clifford Thomas",male,24.0,2.0,0.0,C.A. 31029
7.75,,Q,"Co Sligo, Ireland Hartford, CT",0,3.0,"Carr, Miss. Jeannie",female,37.0,0.0,0.0,368364
8.4333,,S,,0,3.0,"Kalvik, Mr. Johannes Halvorsen",male,21.0,0.0,0.0,8475
7.7958,,S,"Oskarshamn, Sweden Minneapolis, MN",1,3.0,"Asplund, Mr. Johan Charles",male,23.0,0.0,0.0,350054
76.2917,D15,C,"Philadelphia, PA",1,1.0,"Bucknell, Mrs. William Robert (Emma Eliza Ward)",female,60.0,0.0,0.0,11813
512.3292,B51 B53 B55,C,"Germantown, Philadelphia, PA",1,1.0,"Cardeza, Mrs. James Warburton Martinez (Charlotte Wardle Drake)",female,58.0,0.0,1.0,PC 17755
42.4,,S,"Washington, DC",0,1.0,"Moore, Mr. Clarence Bloomfield",male,47.0,0.0,0.0,113796
146.5208,B78,C,"Paris, France",1,1.0,"Spencer, Mrs. William Augustus (Marie Eugenie)",female,,1.0,0.0,PC 17569
8.05,,S,"London Brooklyn, NY",1,3.0,"Cohen, Mr. Gurshon ""Gus""",male,18.0,0.0,0.0,A/5 3540
21.0,,S,"Elizabeth, NJ",1,2.0,"Renouf, Mrs. Peter Henry (Lillian Jefferys)",female,30.0,3.0,0.0,31027
8.3,,S,"Windsor, England New York, NY",0,3.0,"Allum, Mr. Owen George",male,18.0,0.0,0.0,2223
7.8792,,Q,,1,3.0,"McGovern, Miss. Mary",female,,0.0,0.0,330931
39.6,,S,"Paris /  New York, NY",1,1.0,"Rheims, Mr. George Alexander Lucien",male,,0.0,0.0,PC 17607
6.4958,,S,,0,3.0,"Wiklund, Mr. Karl Johan",male,21.0,1.0,0.0,3101266
7.75,,Q,,1,3.0,"Madigan, Miss. Margaret ""Maggie""",female,,0.0,0.0,370370
13.8625,D38,C,"Cologne, Germany",1,2.0,"Nourney, Mr. Alfred (""Baron von Drachstedt"")",male,20.0,0.0,0.0,SC/PARIS 2166
8.6625,,C,,0,3.0,"Stankovic, Mr. Ivan",male,33.0,0.0,0.0,349239
73.5,,S,"West Hampstead, London / Neepawa, MB",0,2.0,"Hickman, Mr. Leonard Mark",male,24.0,2.0,0.0,S.O.C. 14879
13.0,,S,"Bronx, NY",0,2.0,"Greenberg, Mr. Samuel",male,52.0,0.0,0.0,250647
63.3583,D10 D12,C,"New York, NY",1,1.0,"Greenfield, Mrs. Leo David (Blanche Strouse)",female,45.0,0.0,1.0,PC 17759
11.5,,S,"Buenos Aires, Argentina / New Jersey, NJ",0,2.0,"Andrew, Mr. Edgardo Samuel",male,18.0,0.0,0.0,231945
7.2292,,C,,0,3.0,"Torfa, Mr. Assad",male,,0.0,0.0,2673
15.2458,,C,,1,3.0,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29.0,0.0,2.0,2650
7.8542,,S,,0,3.0,"Vendel, Mr. Olof Edvin",male,20.0,0.0,0.0,350416
79.2,,C,"New York, NY",0,1.0,"Rosenshine, Mr. George (""Mr George Thorne"")",male,46.0,0.0,0.0,PC 17585
21.0,,S,"India / Pittsburgh, PA",0,2.0,"Karnes, Mrs. J Frank (Claire Bennett)",female,22.0,0.0,0.0,F.C.C. 13534
8.7125,,C,,0,3.0,"Paulner, Mr. Uscher",male,,0.0,0.0,3411
14.5,,S,"Detroit, MI",1,2.0,"Hamalainen, Mrs. William (Anna)",female,24.0,0.0,2.0,250649
7.8542,,S,,0,3.0,"Vestrom, Miss. Hulda Amanda Adolfina",female,14.0,0.0,0.0,350406
12.475,E121,S,,1,3.0,"Moor, Mrs. (Beila)",female,27.0,0.0,1.0,392096
22.525,,S,"Bergen, Norway",0,3.0,"Andersen, Mr. Albert Karvin",male,32.0,0.0,0.0,C 4001
21.0,,S,"Mamaroneck, NY",1,2.0,"Walcroft, Miss. Nellie",female,31.0,0.0,0.0,F.C.C. 13528
7.8958,,S,,0,3.0,"Ivanoff, Mr. Kanio",male,,0.0,0.0,349201
56.4958,,S,"Hong Kong New York, NY",1,3.0,"Bing, Mr. Lee",male,32.0,0.0,0.0,1601
7.8958,,S,,0,3.0,"Vovk, Mr. Janko",male,22.0,0.0,0.0,349252
83.1583,C50,C,"Mt Airy, Philadelphia, PA",1,1.0,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",female,56.0,0.0,1.0,11767
34.375,,S,"Rotherfield, Sussex, England Essex Co, MA",0,3.0,"Ford, Miss. Doolina Margaret ""Daisy""",female,21.0,2.0,2.0,W./C. 6608
26.0,,S,"Norwich / New York, NY",1,2.0,"Beane, Mr. Edward",male,32.0,1.0,0.0,2908
56.4958,,S,,0,3.0,"Lam, Mr. Len",male,,0.0,0.0,1601
15.2458,,C,,1,3.0,"Touma, Miss. Maria Youssef",female,9.0,1.0,1.0,2650
93.5,B69,S,"Montreal, PQ",1,1.0,"Hays, Mrs. Charles Melville (Clara Jennings Gregg)",female,52.0,1.0,1.0,12749
7.7792,,Q,,1,3.0,"Shine, Miss. Ellen Natalia",female,,0.0,0.0,330968
7.225,,C,,0,3.0,"Yousif, Mr. Wazli",male,,0.0,0.0,2647
7.225,,C,,0,3.0,"Zakarian, Mr. Ortin",male,27.0,0.0,0.0,2670
7.925,,S,,1,3.0,"Stranden, Mr. Juho",male,31.0,0.0,0.0,STON/O 2. 3101288
7.775,,S,,0,3.0,"Rommetvedt, Mr. Knud Paust",male,,0.0,0.0,312993
